"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.603373070E-1,4.339490552E-3,2.123357654E-1,9.745897293E0,9.748211085E0
3.628793400E-1,1.264437754E-2,2.195183635E-1,9.750685692E0,9.753164597E0
3.654025740E-1,-8.753799833E-3,2.231096774E-1,9.738714218E0,9.741273489E0
3.679253610E-1,1.025017630E-2,2.159270644E-1,9.753080368E0,9.755475705E0
3.704422470E-1,-7.556699216E-3,2.075473666E-1,9.735123634E0,9.737338712E0
3.729718290E-1,-8.828618564E-3,2.111386657E-1,9.748216629E0,9.750506906E0
3.754944940E-1,1.264437754E-2,2.243067771E-1,9.749488831E0,9.752077003E0
3.780177690E-1,1.032499503E-2,2.160018831E-1,9.739986420E0,9.742386713E0
3.805405140E-1,1.503857970E-2,2.159270644E-1,9.756670952E0,9.759071612E0
3.830637890E-1,-4.115034360E-3,2.111386657E-1,9.761384964E0,9.763669028E0
3.855866980E-1,2.102408372E-2,2.088192850E-1,9.747169495E0,9.749428735E0
3.880905220E-1,6.584054790E-3,2.123357654E-1,9.767370224E0,9.769680185E0
3.906328400E-1,5.386953708E-3,2.123357654E-1,9.767370224E0,9.769679452E0
3.931559930E-1,4.264671821E-3,2.254290581E-1,9.760262489E0,9.762866398E0
3.956791860E-1,4.339490552E-3,2.302922755E-1,9.748291969E0,9.751012752E0
3.982017280E-1,-2.768295817E-3,2.064250708E-1,9.733925819E0,9.736114771E0
4.007248400E-1,-4.489128187E-4,2.123357654E-1,9.745897293E0,9.748210129E0
4.032483600E-1,2.700958773E-2,2.195931822E-1,9.743577957E0,9.746089579E0
4.057711460E-1,9.127894416E-3,2.124105841E-1,9.736394882E0,9.738715874E0
4.082940540E-1,-1.646013698E-3,2.123357654E-1,9.747094154E0,9.749406835E0
4.108171260E-1,1.144727692E-2,2.159270644E-1,9.748291969E0,9.750689814E0
4.133400750E-1,6.658873521E-3,2.004395723E-1,9.754277229E0,9.756338690E0
4.158629840E-1,1.870470122E-3,2.135328650E-1,9.755474091E0,9.757810949E0
4.183864210E-1,1.638531871E-2,2.064998895E-1,9.730409622E0,9.732614351E0
4.209095330E-1,1.945288852E-3,2.016366720E-1,9.741108894E0,9.743195760E0
4.234323610E-1,9.127894416E-3,1.944540739E-1,9.742305756E0,9.744250466E0
4.259234090E-1,2.094926499E-2,2.039560527E-1,9.765050888E0,9.767203069E0
4.284783400E-1,1.144727692E-2,2.112134844E-1,9.748291969E0,9.750586572E0
4.310014120E-1,4.339490552E-3,2.064250708E-1,9.745897293E0,9.748084129E0
4.335052370E-1,2.109890245E-2,2.005143911E-1,9.738789558E0,9.740876411E0
4.360478400E-1,1.039981376E-2,2.029085904E-1,9.725621223E0,9.727743224E0
4.385705850E-1,-8.828618564E-3,2.182464451E-1,9.754201889E0,9.756647167E0
4.410937380E-1,7.930792868E-3,2.040308714E-1,9.749488831E0,9.751626734E0
4.436164430E-1,-1.234510262E-2,2.219125628E-1,9.743428230E0,9.745962819E0
4.461396780E-1,-1.114800200E-2,2.195183635E-1,9.741034508E0,9.743514041E0
4.486630740E-1,-7.631517947E-3,2.182464451E-1,9.753005028E0,9.755449596E0
4.511857790E-1,1.391629782E-2,2.076221853E-1,9.745897293E0,9.748118520E0
4.536795950E-1,-6.434416864E-3,2.255038768E-1,9.744700432E0,9.747311419E0
4.562318000E-1,-4.489128187E-4,2.255038768E-1,9.739912033E0,9.742522189E0
4.587545860E-1,4.414309282E-3,2.028337717E-1,9.731532097E0,9.733646695E0
4.612778610E-1,-1.571194851E-3,2.040308714E-1,9.738714218E0,9.740851384E0
4.638011770E-1,2.020107582E-3,2.183960825E-1,9.724424362E0,9.726876688E0
4.663239230E-1,-2.917933278E-3,2.266261578E-1,9.757793427E0,9.760425220E0
4.688472380E-1,8.230068488E-4,2.183212638E-1,9.735123634E0,9.737571413E0
4.713701470E-1,3.142389702E-3,2.207154632E-1,9.745897293E0,9.748396752E0
4.738749890E-1,1.391629782E-2,2.100163847E-1,9.743577957E0,9.745851012E0
4.764166970E-1,-8.828618564E-3,2.039560527E-1,9.750611305E0,9.752748169E0
4.789298800E-1,1.945288852E-3,2.159270644E-1,9.748291969E0,9.750683289E0
4.814623100E-1,5.461772438E-3,2.231096774E-1,9.750685692E0,9.753239422E0
4.839853410E-1,1.152209565E-2,1.837549806E-1,9.742305756E0,9.744045366E0
4.865084120E-1,4.339490552E-3,1.896656603E-1,9.748291969E0,9.750137856E0
4.890312800E-1,-2.843114547E-3,2.231096774E-1,9.739912033E0,9.742467471E0
4.915348200E-1,-7.631517947E-3,1.931821555E-1,9.757793427E0,9.759708507E0
4.940774630E-1,1.286883373E-2,2.219873816E-1,9.760038376E0,9.762571029E0
4.966006160E-1,-1.346738427E-3,2.017114908E-1,9.743278503E0,9.745366352E0
4.991236460E-1,1.653495617E-2,2.041056901E-1,9.754052162E0,9.756201419E0
5.016466770E-1,1.167173311E-2,2.088941038E-1,9.760038376E0,9.762280578E0
5.041694230E-1,3.292027395E-3,2.112134844E-1,9.770736694E0,9.773019877E0
5.066924950E-1,-2.244564093E-4,2.171989828E-1,9.756446838E0,9.758864194E0
5.092159320E-1,-2.618658124E-3,2.231844962E-1,9.759963036E0,9.762514872E0
5.117090550E-1,4.563947208E-3,2.196680009E-1,9.748066902E0,9.750542713E0
5.142482400E-1,9.427169338E-3,1.993921101E-1,9.738490105E0,9.740535694E0
5.167706610E-1,1.780687459E-2,2.125602216E-1,9.731382370E0,9.733719832E0
5.192758690E-1,4.713584669E-3,2.029834092E-1,9.725397110E0,9.727516303E0
5.217967430E-1,8.155249991E-3,2.136825025E-1,9.750461578E0,9.752806145E0
5.243446350E-1,-3.666121280E-3,2.196680009E-1,9.730110168E0,9.732590167E0
5.268629060E-1,1.653495617E-2,2.124854028E-1,9.748142242E0,9.750471816E0
5.293859360E-1,5.761047825E-3,2.279728949E-1,9.757643700E0,9.760308161E0
5.319089660E-1,1.174655184E-2,2.112883031E-1,9.751658440E0,9.753954226E0
5.344317530E-1,-2.244564093E-4,2.171989828E-1,9.755249977E0,9.757667629E0
5.369552320E-1,1.414075401E-2,2.160767019E-1,9.748142242E0,9.750546973E0
5.394781400E-1,9.726444259E-4,2.171989828E-1,9.751658440E0,9.754077028E0
